Time,ID, Address, FType,X,Y,Z,GWDist,Data Rate, Tx Power, Tx,CTx,UCTx, Rx,CRx,UCRx, HD-CUL,HD-UUL, TXdl,Rxdl, Rx1, Rx2, Rx1_s, Rx2_s, Rx1_dc, Rx2_dc, MaxOT, OT
3600,65,0000001|0000000000000000000111101,4,-275.084,102.317,1,105.348,5,14,11,11,0,8,8,0,0,0,4,1,4,0,1,0,0,0
3600,66,0000001|0000000000000000000111110,4,-229.519,220.613,1,221.563,4,14,16,16,0,13,13,0,0,0,4,2,4,0,2,0,0,0
3600,67,0000001|0000000000000000000111111,4,-212.07,360.856,1,239.297,2,14,8,8,0,8,8,0,0,0,3,3,0,3,0,3,0,0
3600,68,0000001|0000000000000000001000000,4,-383.422,-231.252,1,266.982,2,14,5,5,0,4,4,0,0,0,2,2,0,2,0,2,0,0
3600,69,0000001|0000000000000000001000001,4,-399.662,-245.491,1,287.515,2,14,9,9,0,6,6,0,1,0,3,2,0,3,0,2,0,0
3600,70,0000001|0000000000000000001000010,4,-370.65,-130.311,1,177.589,3,14,14,14,0,12,12,0,1,0,3,1,3,0,1,0,0,0
3600,71,0000001|0000000000000000001000011,4,356.094,-7.53393,1,106.363,5,14,10,10,0,6,6,0,0,0,0,0,0,0,0,0,0,0
3600,72,0000001|0000000000000000001000100,4,300.15,451.889,1,361.731,0,14,8,8,0,5,5,0,2,0,4,4,0,4,0,4,0,0
3600,73,0000001|0000000000000000001000101,4,98.8464,-143.336,1,208.31,2,14,8,8,0,6,6,0,1,0,5,4,0,5,0,4,0,0
3600,74,0000001|0000000000000000001000110,4,-242.372,-102.471,1,102.756,5,14,8,8,0,5,5,0,0,0,2,2,2,0,2,0,0,0
3600,75,0000001|0000000000000000001000111,4,57.6498,-155.28,1,247.206,4,14,5,5,0,3,3,0,1,0,2,1,2,0,1,0,0,0
3600,76,0000001|0000000000000000001001000,4,135.935,94.5712,1,148.172,5,14,12,12,0,12,12,0,0,0,4,1,4,0,1,0,0,0
3600,77,0000001|0000000000000000001001001,4,171.485,-295.444,1,305.699,0,14,10,10,0,9,9,0,0,0,5,4,0,5,0,4,0,0
3600,78,0000001|0000000000000000001001010,4,-90.972,-149.528,1,218.286,3,14,7,7,0,3,3,0,2,0,3,3,1,2,1,2,0,0
3600,79,0000001|0000000000000000001001011,4,262.623,29.6068,1,32.1894,5,14,11,11,0,9,9,0,1,0,7,7,7,0,7,0,0,0
3600,80,0000001|0000000000000000001001100,4,305.482,203.856,1,211.271,3,14,7,7,0,6,6,0,0,0,4,2,3,1,1,1,0,0
3600,81,0000001|0000000000000000001001101,4,79.4735,243.782,1,79.718,5,14,6,6,0,6,6,0,0,0,2,1,2,0,1,0,0,0
3600,82,0000001|0000000000000000001001110,4,268.665,121.152,1,122.582,5,14,14,14,0,10,10,0,1,0,3,1,3,0,1,0,0,0
3600,83,0000001|0000000000000000001001111,4,-206.751,-351.725,1,354.374,1,14,7,7,0,6,6,0,1,0,3,3,0,3,0,3,0,0
3600,84,0000001|0000000000000000001010000,4,-284.203,59.3585,1,68.5091,5,14,7,7,0,6,6,0,1,0,1,1,1,0,1,0,0,0
3600,85,0000001|0000000000000000001010001,4,-272.751,-275.038,1,275.977,2,14,10,10,0,9,9,0,0,0,4,3,0,4,0,3,0,0
3600,86,0000001|0000000000000000001010010,4,157.453,475.472,1,275.008,3,14,7,7,0,5,5,0,1,0,2,1,2,0,1,0,0,0
3600,87,0000001|0000000000000000001010011,4,-19.0141,173.008,1,79.3069,5,14,8,8,0,8,8,0,0,0,2,2,2,0,2,0,0,0
3600,88,0000001|0000000000000000001010100,4,-446.919,-454.69,1,495.5,3,14,12,12,0,7,7,0,0,0,5,2,4,1,2,0,0,0
3600,89,0000001|0000000000000000001010101,4,-343.67,-294.065,1,308.623,2,14,13,13,0,12,12,0,0,0,4,3,0,4,0,3,0,0
3600,90,0000001|0000000000000000001010110,4,-203.908,486.869,1,312.547,1,14,12,12,0,9,9,0,2,0,6,5,0,6,0,5,0,0
3600,91,0000001|0000000000000000001010111,4,241.228,-117.142,1,117.471,5,14,11,11,0,7,7,0,2,0,4,0,4,0,0,0,0,0
3600,92,0000001|0000000000000000001011000,4,291.841,-117.59,1,124.814,5,14,9,9,0,8,8,0,0,0,4,0,4,0,0,0,0,0
3600,93,0000001|0000000000000000001011001,4,-443.271,-193.083,1,273.194,0,14,9,9,0,7,7,0,1,0,4,4,0,4,0,4,0,0
3600,94,0000001|0000000000000000001011010,4,249.82,-347.784,1,347.784,2,14,8,8,0,6,6,0,1,0,5,5,0,5,0,5,0,0
3600,95,0000001|0000000000000000001011011,4,11.3127,362.172,1,112.742,5,14,8,8,0,7,7,0,0,0,3,1,3,0,1,0,0,0
3600,96,0000001|0000000000000000001011100,4,157.506,329.602,1,176.479,4,14,13,13,0,9,9,0,0,0,3,2,3,0,2,0,0,0
3600,97,0000001|0000000000000000001011101,4,393.973,-60.5038,1,156.171,5,14,16,16,0,12,12,0,1,0,5,3,5,0,3,0,0,0
3600,98,0000001|0000000000000000001011110,4,-295.868,40.8278,1,61.4085,5,14,9,9,0,8,8,0,1,0,4,4,4,0,4,0,0,0
3600,99,0000001|0000000000000000001011111,4,388.345,-309.315,1,338.844,1,14,6,6,0,6,6,0,0,0,1,1,0,1,0,1,0,0
3600,100,0000001|0000000000000000001100000,4,485.37,149.972,1,279.09,2,14,15,15,0,12,12,0,1,0,4,4,0,4,0,4,0,0
3600,101,0000001|0000000000000000001100001,4,-151.402,296.664,1,158.431,5,14,11,11,0,9,9,0,1,0,3,0,3,0,0,0,0,0
3600,102,0000001|0000000000000000001100010,4,335.289,-281.674,1,294.304,3,14,11,11,0,6,6,0,1,0,3,1,1,2,0,1,0,0
3600,103,0000001|0000000000000000001100011,4,306.559,-58.2475,1,81.1906,5,14,10,10,0,8,8,0,0,0,1,0,1,0,0,0,0,0
3600,104,0000001|0000000000000000001100100,4,199.267,154.243,1,162.373,5,14,6,6,0,5,5,0,1,0,3,1,3,0,1,0,0,0
3600,105,0000001|0000000000000000001100101,4,-343.292,-23.2839,1,96.1553,5,14,12,12,0,12,12,0,0,0,4,2,4,0,2,0,0,0
3600,106,0000001|0000000000000000001100110,4,-217.904,-329.265,1,330.826,1,14,10,10,0,8,8,0,1,0,3,3,0,3,0,3,0,0
3600,107,0000001|0000000000000000001100111,4,-254.862,250.019,1,250.067,3,14,10,10,0,10,10,0,0,0,5,4,2,3,1,3,0,0
3600,108,0000001|0000000000000000001101000,4,133.34,81.9858,1,142.588,4,14,11,11,0,11,11,0,0,0,7,6,7,0,6,0,0,0
3600,109,0000001|0000000000000000001101001,4,-315.049,-15.2428,1,66.8126,5,14,11,11,0,11,11,0,0,0,5,3,5,0,3,0,0,0
3600,110,0000001|0000000000000000001101010,4,68.5699,-217.105,1,282.934,3,14,19,19,0,17,17,0,0,0,12,7,10,2,5,2,0,0
3600,111,0000001|0000000000000000001101011,4,-447.931,403.457,1,449.394,2,14,15,15,0,11,11,0,0,0,5,4,0,5,0,4,0,0
3600,112,0000001|0000000000000000001101100,4,5.90548,299.649,1,50.0012,5,14,11,11,0,9,9,0,1,0,3,3,3,0,3,0,0,0
3600,113,0000001|0000000000000000001101101,4,108.65,345.827,1,144.872,5,14,10,10,0,6,6,0,0,0,4,3,4,0,3,0,0,0
3600,114,0000001|0000000000000000001101110,4,-19.8254,256.279,1,20.8018,5,14,6,6,0,5,5,0,1,0,3,3,3,0,3,0,0,0
3600,115,0000001|0000000000000000001101111,4,-99.3995,-243.486,1,286.297,2,14,6,6,0,5,5,0,0,0,4,4,0,4,0,4,0,0
3600,116,0000001|0000000000000000001110000,4,-132.996,-230.691,1,258.666,2,14,7,7,0,7,7,0,0,0,5,5,0,5,0,5,0,0
3600,117,0000001|0000000000000000001110001,4,-171.989,-19.7258,1,80.4682,5,14,11,11,0,9,9,0,1,0,2,2,2,0,2,0,0,0
